Stall Name,Food Item Name,Category,Price,Description,Location,Mins,Location
The Coffee House,Iced Tea,Beverages,$2.99 ,"A refreshing iced tea made with your choice of black, green, or herbal tea.",Variante del Rettifilo,13,"45.624938 ,9.281611"
Wok This Way,Bubble Milk Tea,Beverages,$3.99 ,"A refreshing tea-based drink with tapioca pearls and milk, served over ice.",Variante della Roggia,19,"45.630373 ,9.291853"
Fresh Fruit Paradise,Acai Bowl,Brazilian,$8.99 ,"A nutritious and delicious bowl made with acai berry puree, topped with fresh fruits, granola, and honey.",Parabolica,35,"45.610716 ,9.283778"
Fish & Chips,Fish Fingers,British,$6.99 ,"Battered and fried fish fingers, typically served with a dipping sauce like tartar or ketchup.",Lesmo 2,11,"45.628667 ,9.29616"
Bao Stop,Pork Belly Bao,Chinese,$8.00 ,"Steamed buns filled with crispy pork belly, cucumber, and hoisin sauce.",Start/Finish Line,14,"45.6158 ,9.2812"
Bao Stop,BBQ Pork Bao,Chinese,$8.00 ,Steamed buns filled with sweet and savory BBQ pork and pickled vegetables.,Start/Finish Line,14,"45.6158 ,9.2812"
Bao Stop,Mushroom and Tofu Bao,Chinese,$6.00 ,"Steamed buns filled with sautéed mushrooms, tofu, and hoisin sauce.",Start/Finish Line,14,"45.6158 ,9.2812"
Wok This Way,Chicken Fried Rice,Chinese,$8.99 ,"Stir-fried rice with chicken, egg, scallions, peas, and carrots, seasoned with soy sauce and sesame oil.",Variante della Roggia,19,"45.630373 ,9.291853"
Wok This Way,General Tso's Chicken,Chinese,$12.99 ,"Deep-fried chicken pieces in a sweet and spicy sauce, served with steamed rice and broccoli.",Variante della Roggia,19,"45.630373 ,9.291853"
Wok This Way,Vegetable Spring Rolls,Chinese,$4.99 ,"Crispy fried spring rolls filled with shredded vegetables, served with sweet and sour sauce.",Variante della Roggia,19,"45.630373 ,9.291853"
Wok This Way,Fried Rice,Chinese,$10.99 ,"Stir-fried rice with vegetables and choice of protein, typically seasoned with soy sauce and sesame oil.",Variante della Roggia,19,"45.630373 ,9.291853"
The Coffee House,Latte,Coffee,$3.99 ,A classic coffee drink made with espresso and steamed milk.,Variante del Rettifilo,13,"45.624938 ,9.281611"
The Coffee House,Mocha,Beverages,$4.99 ,"A rich and chocolaty coffee drink made with espresso, steamed milk, and chocolate syrup.",Variante del Rettifilo,13,"45.624938 ,9.281611"
Havana Eats,Cuban Sandwich,Beverages,$10.00 ,"A classic Cuban sandwich made with ham, roasted pork, Swiss cheese, pickles, and mustard, on Cuban bread.",Variante del Rettifilo,17,"45.624938 ,9.281611"
Havana Eats,Ropa Vieja,Cuban,$12.00 ,"Shredded beef cooked with onions, peppers, and tomatoes, served with rice and beans.",Variante del Rettifilo,17,"45.624938 ,9.281611"
Havana Eats,Tostones,Cuban,$6.00 ,Fried plantain slices served with garlic mojo sauce.,Variante del Rettifilo,17,"45.624938 ,9.281611"
Havana Eats,Cuban-style Chicken,Cuban,$10.00 ,"Grilled chicken marinated in lime, garlic, and cumin, served with black beans and rice.",Variante del Rettifilo,17,"45.624938 ,9.281611"
Havana Eats,Cuban-style Beef Empanadas,Cuban,$8.00 ,"Fried pastry filled with seasoned ground beef, potatoes, and olives.",Variante del Rettifilo,17,"45.624938 ,9.281611"
Fresh Fruit Paradise,Mixed Fruit Bowl,Desserts,$5.99 ,"A fresh and healthy bowl of mixed fruits, including strawberries, blueberries, bananas, and grapes.",Parabolica,35,"45.610716 ,9.283778"
Ice Cream Delight,Vanilla Ice Cream,Desserts,$3.99 ,Creamy vanilla ice cream made with fresh milk and cream.,Variante della Roggia,19,"45.630373 ,9.291853"
Ice Cream Delight,Chocolate Ice Cream,Desserts,$3.99 ,Rich and chocolaty ice cream made with fresh milk and cream.,Variante della Roggia,19,"45.630373 ,9.291853"
Ice Cream Delight,Brownie Sundae,Desserts,$6.99 ,"A warm and fudgy brownie topped with a scoop of vanilla ice cream, hot fudge, whipped cream, and a cherry.",Variante della Roggia,19,"45.630373 ,9.291853"
La Taqueria,Churros with Chocolate Sauce,Desserts,$5.99 ,"Fried dough pastry coated in cinnamon and sugar, served with warm chocolate dipping sauce.",Ascari Chicane,37,"45.621926 ,9.285407"
Le Pâtissier,Profiteroles,Desserts,$5.99 ,"A dessert made with small cream puffs filled with vanilla or chocolate cream, and topped with a warm chocolate sauce.",Start/Finish Line,12,"45.6158 ,9.2812"
My Big Fat Greek,Baklava,Desserts,$4.99 ,"A sweet pastry made with layers of phyllo dough, chopped nuts, cinnamon, and honey syrup, baked until golden brown and served with a dusting of powdered sugar.",Lesmo 1,26,"45.631285 ,9.295308"
Sugar Rush,Red Velvet Cupcake,Desserts,$3.99 ,A rich and moist red velvet cupcake with cream cheese frosting.,Variante del Rettifilo,19,"45.624938 ,9.281611"
Sugar Rush,Chocolate Fudge Brownie,Desserts,$4.99 ,A dense and chocolaty brownie topped with fudge sauce and whipped cream.,Variante del Rettifilo,19,"45.624938 ,9.281611"
Sugar Rush,Raspberry Cheesecake,Desserts,$6.99 ,Creamy cheesecake with a graham cracker crust and a layer of raspberry sauce.,Variante del Rettifilo,19,"45.624938 ,9.281611"
Sugar Rush,Cinnamon Roll,Desserts,$3.99 ,A warm and gooey cinnamon roll with cream cheese icing.,Variante del Rettifilo,19,"45.624938 ,9.281611"
Tandoori Delight,Gulab Jamun,Desserts,$3.99 ,"Deep-fried dough balls soaked in sugar syrup, flavored with cardamom and rose water.",Parabolica,23,"45.610716 ,9.283778"
The Coffee House,Blueberry Muffin,Desserts,$2.99 ,A freshly baked muffin filled with sweet and juicy blueberries.,Variante del Rettifilo,13,"45.624938 ,9.281611"
The Pastry Corner,Blueberry Danish,Desserts,$2.99 ,A flaky pastry filled with sweet blueberry jam and topped with a light glaze.,Curva Grande,25,"45.629193 ,9.282877"
The Pastry Corner,Cinnamon Roll,Desserts,$3.99 ,A warm and gooey cinnamon roll topped with creamy frosting.,Curva Grande,25,"45.629193 ,9.282877"
The Pastry Corner,Scone,Desserts,$2.99 ,"A traditional British pastry made with flour, butter, and milk, and often filled with currants or other dried fruit.",Curva Grande,25,"45.629193 ,9.282877"
The Pastry Corner,Chocolate Croissant,Desserts,$3.99 ,A flaky croissant filled with rich and creamy chocolate.,Curva Grande,25,"45.629193 ,9.282877"
The Pastry Corner,Apple Turnover,Desserts,$2.99 ,A flaky pastry filled with sweet and tart apples and cinnamon.,Curva Grande,25,"45.629193 ,9.282877"
The Sandwich Spot,Chocolate Chip Cookie Sandwich,Desserts,$5.99 ,Two chocolate chip cookies with a layer of vanilla ice cream in between.,Variante della Roggia,19,"45.630373 ,9.291853"
The Sweet Spot,Chocolate Cake,Desserts,$6.99 ,A decadent chocolate cake made with rich chocolate ganache and dusted with cocoa powder.,Parabolica,17,"45.610716 ,9.283778"
The Sweet Spot,Cheesecake,Desserts,$7.99 ,"A creamy and smooth cheesecake made with cream cheese and a graham cracker crust, topped with your choice of cherry or strawberry sauce.",Parabolica,17,"45.610716 ,9.283778"
The Sweet Spot,Macarons,Desserts,$2.99 ,Delicate and colorful French macarons filled with various flavors of ganache or buttercream.,Parabolica,17,"45.610716 ,9.283778"
The Sweet Spot,Brownie Bites,Desserts,$4.99 ,"Bite-sized brownies topped with chocolate chips, caramel sauce, and chopped nuts.",Parabolica,17,"45.610716 ,9.283778"
The Sweet Spot,Ice Cream Sundae,Desserts,$6.99 ,"A classic sundae made with vanilla ice cream, hot fudge, whipped cream, and a cherry on top.",Parabolica,17,"45.610716 ,9.283778"
The Sweet Spot,Chocolate Chip Cookie,Desserts,$2.99 ,A freshly baked cookie filled with rich and gooey chocolate chips,Parabolica,17,"45.610716 ,9.283778"
The Vegan Bakery,Vegan Cupcake,Desserts,$3.99 ,A fluffy and moist cupcake made with vegan ingredients and topped with a sweet and creamy frosting.,Start/Finish Line,42,"45.6158 ,9.2812"
The Vegan Bakery,Chocolate Chip Muffin,Desserts,$2.99 ,"A freshly baked muffin filled with vegan chocolate chips, perfect for breakfast or as a snack.",Start/Finish Line,42,"45.6158 ,9.2812"
The Vegan Bakery,Vegan Croissant,Desserts,$3.99 ,A flaky croissant made with vegan butter and filled with jam or chocolate.,Start/Finish Line,42,"45.6158 ,9.2812"
The Vegan Bakery,Gluten-Free Brownie,Desserts,$4.99 ,A rich and fudgy brownie made with gluten-free flour and dairy-free chocolate.,Start/Finish Line,42,"45.6158 ,9.2812"
Brasserie Française,Croque-Monsieur,French,$10.99 ,"A classic French sandwich made with ham and cheese, typically served hot and toasted.",Variante del Rettifilo,40,"45.624938 ,9.281611"
Brasserie Française,Tartiflette,French,$18.99 ,"A hearty dish made with potatoes, bacon, onions, and Reblochon cheese, baked until golden brown and served hot. Typically found in the French Alps, this dish is perfect for a cozy night in while watching a winter sports event.",Variante del Rettifilo,40,"45.624938 ,9.281611"
Chez Pierre,Onion Tart,French,$9.99 ,"A flaky and buttery pastry filled with caramelized onions and served warm, often paired with a glass of wine.",Variante della Roggia,50,"45.630373 ,9.291853"
La Crêperie,Ham and Cheese Crêpe,French,$8.00 ,A savory crêpe filled with ham and melted cheese.,Lesmo 1,18,"45.631285 ,9.295308"
La Crêperie,Nutella and Banana Crêpe,French,$8.00 ,A sweet crêpe filled with Nutella and sliced banana.,Lesmo 1,18,"45.631285 ,9.295308"
La Crêperie,Ratatouille Crêpe,French,$10.00 ,"A savory crêpe filled with ratatouille, a vegetable stew made with tomatoes, eggplant, and zucchini.",Lesmo 1,18,"45.631285 ,9.295308"
La Crêperie,Lemon and Sugar Crêpe,French,$6.00 ,A classic sweet crêpe sprinkled with lemon juice and sugar.,Lesmo 1,18,"45.631285 ,9.295308"
La Crêperie,Mushroom and Cheese Crêpe,French,$10.00 ,A savory crêpe filled with sautéed mushrooms and melted cheese.,Lesmo 1,18,"45.631285 ,9.295308"
La Petite Boulangerie,Baguette Sandwiches,French,$7.99 ,"Freshly baked baguette sandwiches filled with a variety of meats, cheeses, and vegetables, typically served cold.",Lesmo 2,11,"45.628667 ,9.29616"
La Petite Boulangerie,Pain au Fromage,French,$4.99 ,"A savory pastry filled with cheese and baked until golden brown, typically served warm.",Lesmo 2,11,"45.628667 ,9.29616"
Le Bistro,Quiche,French,$8.99 ,"A savory pastry filled with a mix of eggs, cream, cheese, and vegetables or meat, baked until golden brown and served warm.",Parabolica,34,"45.610716 ,9.283778"
The Pastry Corner,Croissant,French,$2.99 ,"A buttery and flaky croissant, perfect for breakfast or a snack.",Curva Grande,25,"45.629193 ,9.282877"
Bavarian Biergarten,Bratwurst,German,$8.00 ,Grilled pork sausage served with sauerkraut and mustard.,Curva Grande,46,"45.629193 ,9.282877"
Bavarian Biergarten,Soft Pretzel,German,$5.00 ,A large soft pretzel served with mustard.,Curva Grande,46,"45.629193 ,9.282877"
Bavarian Biergarten,Obatzda,German,$6.00 ,"A Bavarian cheese spread made with Camembert cheese, butter, and paprika.",Curva Grande,46,"45.629193 ,9.282877"
Bavarian Biergarten,Schnitzel Sandwich,German,$10.00 ,"A sandwich made with a breaded pork cutlet, lettuce, tomato, and mustard on a pretzel roll.",Curva Grande,46,"45.629193 ,9.282877"
The Schnitzel Haus,Wiener Schnitzel,German,$12.00 ,Thinly pounded and breaded pork cutlets served with mashed potatoes and sauerkraut.,Lesmo 1,50,"45.631285 ,9.295308"
The Schnitzel Haus,Currywurst,German,$8.00 ,"Grilled pork sausage sliced and topped with a curry ketchup sauce, served with fries.",Lesmo 1,50,"45.631285 ,9.295308"
The Schnitzel Haus,German Potato Salad,German,$6.00 ,"A salad made with boiled potatoes, bacon, onions, and a tangy vinaigrette.",Lesmo 1,50,"45.631285 ,9.295308"
The Schnitzel Haus,Bavarian Pretzel,German,$5.00 ,A large soft pretzel served with mustard.,Lesmo 1,50,"45.631285 ,9.295308"
Greek Eats,Gyro,Greek,$8.99 ,"A classic Greek sandwich filled with marinated meat (lamb, chicken, or beef), tomatoes, onions, and a creamy tzatziki sauce, all wrapped in a warm pita bread.",Curva Grande,17,"45.629193 ,9.282877"
My Big Fat Greek,Saganaki,Greek,$8.99 ,"A Greek specialty made with pan-seared Kasseri cheese, served with warm pita bread and a side of lemon wedges.",Lesmo 1,26,"45.631285 ,9.295308"
My Big Fat Greek,Gyro Platter,Greek,$13.99 ,"A generous portion of marinated lamb, beef, or chicken gyro meat served over a bed of seasoned rice, with a side of Greek salad, tzatziki sauce, and warm pita bread.",Lesmo 1,26,"45.631285 ,9.295308"
My Big Fat Greek,Dolmades,Greek,$7.99 ,"Grape leaves stuffed with a mixture of rice, herbs, and sometimes ground meat, served cold with a side of lemon wedges.",Lesmo 1,26,"45.631285 ,9.295308"
Opa! Greek Food,Spanakopita,Greek,$5.99 ,"A flaky pastry filled with spinach, feta cheese, onions, and herbs, baked until golden brown and served hot.",Lesmo 2,12,"45.628667 ,9.29616"
Opa! Greek Food,Souvlaki,Greek,$10.99 ,"Grilled meat (pork or chicken) skewers, marinated in a blend of lemon, garlic, and oregano, served with warm pita bread, tzatziki sauce, and a side of Greek salad.",Lesmo 2,12,"45.628667 ,9.29616"
Opa! Greek Food,Moussaka,Greek,$12.99 ,"A traditional Greek casserole made with layers of sautéed eggplant, potatoes, ground beef, and a creamy béchamel sauce, baked until golden brown and served hot.",Lesmo 2,12,"45.628667 ,9.29616"
The Greek Spot,Greek Fries,Greek,$4.99 ,"Crispy french fries, seasoned with a blend of Greek spices, and topped with crumbled feta cheese and a drizzle of tzatziki sauce.",Lesmo 1,22,"45.631285 ,9.295308"
The Greek Spot,Lamb Chops,Greek,$16.99 ,"Grilled lamb chops, seasoned with a blend of Mediterranean spices and served with a side of lemon potatoes and Greek salad.",Lesmo 1,22,"45.631285 ,9.295308"
Curry House,Butter Chicken,Indian,$12.00 ,"A creamy chicken dish made with tomatoes, onions, and a blend of spices, served with rice.",Lesmo 1,27,"45.631285 ,9.295308"
Curry House,Chicken Tikka Masala,Indian,$10.00 ,"Grilled chicken in a creamy tomato-based sauce, served with naan bread.",Lesmo 1,27,"45.631285 ,9.295308"
Curry House,Vegetable Samosas,Indian,$6.00 ,"Fried pastry filled with spiced potatoes, peas, and onions, served with tamarind chutney.",Lesmo 1,27,"45.631285 ,9.295308"
Curry House,Lamb Vindaloo,Indian,$12.00 ,"A spicy lamb curry made with vinegar, chilies, and spices, served with rice.",Lesmo 1,27,"45.631285 ,9.295308"
Curry House,Chana Masala,Indian,$8.00 ,"A vegetarian dish made with chickpeas in a spicy tomato-based sauce, served with rice.",Lesmo 1,27,"45.631285 ,9.295308"
Tandoori Delight,Chicken Tikka Masala,Indian,$11.99 ,"Tender pieces of chicken cooked in a creamy tomato-based sauce, served with basmati rice and naan bread.",Parabolica,23,"45.610716 ,9.283778"
Tandoori Delight,Lamb Rogan Josh,Indian,$13.99 ,"Tender pieces of lamb cooked in a rich and spicy tomato-based sauce, served with basmati rice and naan bread.",Parabolica,23,"45.610716 ,9.283778"
Tandoori Delight,Vegetable Samosas,Indian,$4.99 ,"Crispy fried pastry filled with spiced potatoes, peas, and onions, served with tamarind chutney.",Parabolica,23,"45.610716 ,9.283778"
Little Italy,Chicken Parmesan,Italian,$12.00 ,"Breaded chicken cutlets baked with tomato sauce and mozzarella cheese, served with spaghetti.",Curva Grande,24,"45.629193 ,9.282877"
Little Italy,Caesar Salad,Italian,$8.00 ,"A salad made with romaine lettuce, croutons, Parmesan cheese, and a creamy Caesar dressing.",Curva Grande,24,"45.629193 ,9.282877"
Little Italy,Meat Lasagna,Italian,$10.00 ,"Layers of pasta, ground beef, tomato sauce, and mozzarella cheese, baked to perfection.",Curva Grande,24,"45.629193 ,9.282877"
Little Italy,Garlic Bread,Italian,$5.00 ,Sliced bread brushed with garlic butter and toasted until crispy.,Curva Grande,24,"45.629193 ,9.282877"
Little Italy,Cannoli,Italian,$6.00 ,A tube-shaped pastry filled with sweetened ricotta cheese and chocolate chips.,Curva Grande,24,"45.629193 ,9.282877"
Mama Mia's,Margherita Pizza,Italian,$10.00 ,"A classic pizza topped with tomato sauce, fresh mozzarella, and basil.",Variante del Rettifilo,47,"45.624938 ,9.281611"
Mama Mia's,Spaghetti Carbonara,Italian,$12.00 ,"Spaghetti served in a creamy sauce with bacon, egg, and Parmesan cheese.",Variante del Rettifilo,47,"45.624938 ,9.281611"
Mama Mia's,Meatball Sub,Italian,$8.00 ,"A sandwich filled with meatballs, tomato sauce, and mozzarella cheese.",Variante del Rettifilo,47,"45.624938 ,9.281611"
Mama Mia's,Caprese Salad,Italian,$9.00 ,"A salad made with fresh mozzarella, tomatoes, and basil, drizzled with balsamic glaze.",Variante del Rettifilo,47,"45.624938 ,9.281611"
Mama Mia's,Tiramisu,Italian,$6.00 ,"A classic Italian dessert made with ladyfingers, espresso, and mascarpone cheese.",Variante del Rettifilo,47,"45.624938 ,9.281611"
The Pizza Place,Pepperoni Pizza,Italian,$11.99 ,"A classic pizza topped with tomato sauce, mozzarella cheese, and slices of pepperoni.",Variante del Rettifilo,37,"45.624938 ,9.281611"
The Pizza Place,Hawaiian Pizza,Italian,$12.99 ,"A pizza topped with tomato sauce, mozzarella cheese, ham, pineapple, and bacon.",Variante del Rettifilo,37,"45.624938 ,9.281611"
The Pizza Place,Margherita Pizza,Italian,$10.99 ,"A pizza topped with tomato sauce, mozzarella cheese, and fresh basil.",Variante del Rettifilo,37,"45.624938 ,9.281611"
Bao Stop,Chicken Teriyaki Bao,Japanese,$8.00 ,"Steamed buns filled with grilled chicken, teriyaki sauce, and pickled vegetables.",Start/Finish Line,14,"45.6158 ,9.2812"
Sushi Bar,California Roll,Japanese,$8.99 ,"Crab meat, avocado, and cucumber wrapped in sushi rice and seaweed, served with soy sauce and wasabi.",Variante della Roggia,14,"45.630373 ,9.291853"
Sushi Bar,Spicy Tuna Roll,Japanese,$9.99 ,"Fresh tuna mixed with spicy mayo and scallions, wrapped in sushi rice and seaweed, served with soy sauce and pickled ginger.",Variante della Roggia,14,"45.630373 ,9.291853"
Sushi Bar,Dragon Roll,Japanese,$12.99 ,"Tempura shrimp, eel, and avocado wrapped in sushi rice and seaweed, topped with eel sauce and sesame seeds.",Variante della Roggia,14,"45.630373 ,9.291853"
Sushi Bar,Edamame,Japanese,$4.99 ,"Steamed and lightly salted soybean pods, served hot.",Variante della Roggia,14,"45.630373 ,9.291853"
Sushi Express,California Roll,Japanese,$8.00 ,"A sushi roll made with crab, avocado, and cucumber, served with soy sauce and wasabi.",Lesmo 1,47,"45.631285 ,9.295308"
Sushi Express,Spicy Tuna Roll,Japanese,$10.00 ,"A sushi roll made with spicy tuna, cucumber, and avocado, served with soy sauce and wasabi.",Lesmo 1,47,"45.631285 ,9.295308"
Sushi Express,Salmon Sashimi,Japanese,$12.00 ,"Fresh salmon slices served with wasabi, soy sauce, and pickled ginger.",Lesmo 1,47,"45.631285 ,9.295308"
Sushi Express,Vegetable Tempura,Japanese,$8.00 ,"Assorted vegetables battered and fried until crispy, served with tempura sauce.",Lesmo 1,47,"45.631285 ,9.295308"
Sushi Express,Miso Soup,Japanese,$5.00 ,"Traditional Japanese soup made with miso paste, tofu, seaweed, and green onions.",Lesmo 1,47,"45.631285 ,9.295308"
Sushi House,California Roll,Japanese,$6.99 ,"A classic sushi roll made with crab meat, avocado, and cucumber.",Lesmo 2,27,"45.628667 ,9.29616"
Sushi House,Spicy Tuna Roll,Japanese,$8.99 ,"A sushi roll filled with spicy tuna and cucumber, and topped with spicy mayo and sriracha.",Lesmo 2,27,"45.628667 ,9.29616"
Sushi House,Salmon Nigiri,Japanese,$4.99 ,Slices of fresh salmon served on top of a small ball of sushi rice.,Lesmo 2,27,"45.628667 ,9.29616"
Sushi House,Shrimp Tempura Roll,Japanese,$9.99 ,"A sushi roll filled with crispy shrimp tempura, avocado, and cucumber, and topped with eel sauce.",Lesmo 2,27,"45.628667 ,9.29616"
Bao Stop,Beef Bulgogi Bao,Korean,$10.00 ,"Steamed buns filled with marinated beef, sautéed onions, and spicy mayo.",Start/Finish Line,14,"45.6158 ,9.2812"
Mediterranean Deli,Falafel Pita Sandwich,Mediterranean,$8.00 ,"A pita sandwich filled with crispy falafel balls, hummus, lettuce, tomatoes, and tahini sauce.",Variante della Roggia,22,"45.630373 ,9.291853"
Mediterranean Deli,Chicken Shawarma,Mediterranean,$10.00 ,"Grilled chicken marinated in a blend of spices, served in a pita with lettuce, tomatoes, and tzatziki.",Variante della Roggia,22,"45.630373 ,9.291853"
Mediterranean Deli,Spinach and Feta Spanakopita,Mediterranean,$6.00 ,"A pastry filled with spinach, feta cheese, and herbs.",Variante della Roggia,22,"45.630373 ,9.291853"
Mediterranean Deli,Greek Salad,Mediterranean,$8.00 ,"A salad made with lettuce, tomatoes, cucumbers, onions, feta cheese, and olives, served with pita bread.",Variante della Roggia,22,"45.630373 ,9.291853"
Mediterranean Deli,Baba Ghanoush,Mediterranean,$6.00 ,"A dip made with roasted eggplant, garlic, and tahini.",Variante della Roggia,22,"45.630373 ,9.291853"
The Green Bowl,Lentil Soup,Mediterranean,$4.99 ,"A flavorful soup made with lentils, vegetables, and aromatic spices.",Lesmo 2,49,"45.628667 ,9.29616"
The Hummus Stop,Hummus Platter,Mediterranean,$11.99 ,"A platter of creamy hummus, served with warm pita bread, olives, and fresh vegetables.",Ascari Chicane,37,"45.621926 ,9.285407"
The Hummus Stop,Baba Ghanoush,Mediterranean,$5.99 ,"A dip made with roasted eggplant, tahini, lemon, and garlic, served with warm pita bread.",Ascari Chicane,37,"45.621926 ,9.285407"
La Taqueria,Carne Asada Tacos,Mexican,$3.99 ,"Grilled beef steak served on a warm corn tortilla with cilantro, onions, and salsa.",Ascari Chicane,37,"45.621926 ,9.285407"
La Taqueria,Fish Tacos,Mexican,$4.99 ,"Fried or grilled fish served on a warm corn tortilla with shredded cabbage, pico de gallo, and chipotle mayo.",Ascari Chicane,37,"45.621926 ,9.285407"
